init_angle,init_speed,X,Y,time
,,289.2066735,207.0385735,4.09
,,289.9137803,207.3438803,4.1
,,290.6208871,207.6482071,4.11
,,291.3279938,207.9515538,4.12
,,292.0351006,208.2539206,4.13
,,292.7422074,208.5553074,4.14
,,293.4493142,208.8557142,4.15
,,294.156421,209.155141,4.16
,,294.8635278,209.4535878,4.17
,,295.5706345,209.7510545,4.18
,,296.2777413,210.0475413,4.19
,,296.9848481,210.3430481,4.2
,,297.6919549,210.6375749,4.21
,,298.3990617,210.9311217,4.22
,,299.1061684,211.2236884,4.23
,,299.8132752,211.5152752,4.24
,,300.520382,211.805882,4.25
,,301.2274888,212.0955088,4.26
,,301.9345956,212.3841556,4.27
,,302.6417023,212.6718223,4.28
,,303.3488091,212.9585091,4.29
,,304.0559159,213.2442159,4.3
,,304.7630227,213.5289427,4.31
,,305.4701295,213.8126895,4.32
,,306.1772363,214.0954563,4.33
,,306.884343,214.377243,4.34
,,307.5914498,214.6580498,4.35
,,308.2985566,214.9378766,4.36
,,309.0056634,215.2167234,4.37
,,309.7127702,215.4945902,4.38
,,310.4198769,215.7714769,4.39
,,311.1269837,216.0473837,4.4
,,311.8340905,216.3223105,4.41
,,312.5411973,216.5962573,4.42
,,313.2483041,216.8692241,4.43
,,313.9554108,217.1412108,4.44
,,314.6625176,217.4122176,4.45
,,315.3696244,217.6822444,4.46
,,316.0767312,217.9512912,4.47
,,316.783838,218.219358,4.48
,,317.4909448,218.4864448,4.49
,,318.1980515,218.7525515,4.5
,,318.9051583,219.0176783,4.51
,,319.6122651,219.2818251,4.52
,,320.3193719,219.5449919,4.53
,,321.0264787,219.8071787,4.54
,,321.7335854,220.0683854,4.55
,,322.4406922,220.3286122,4.56
,,323.147799,220.587859,4.57
,,323.8549058,220.8461258,4.58
,,324.5620126,221.1034126,4.59
,,325.2691193,221.3597193,4.6
,,325.9762261,221.6150461,4.61
,,326.6833329,221.8693929,4.62
,,327.3904397,222.1227597,4.63
,,328.0975465,222.3751465,4.64
,,328.8046533,222.6265533,4.65
,,329.51176,222.87698,4.66
,,330.2188668,223.1264268,4.67
,,330.9259736,223.3748936,4.68
,,331.6330804,223.6223804,4.69
,,332.3401872,223.8688872,4.7
,,333.0472939,224.1144139,4.71
,,333.7544007,224.3589607,4.72
,,334.4615075,224.6025275,4.73
,,335.1686143,224.8451143,4.74
,,335.8757211,225.0867211,4.75
,,336.5828278,225.3273478,4.76
,,337.2899346,225.5669946,4.77
,,337.9970414,225.8056614,4.78
,,338.7041482,226.0433482,4.79
,,339.411255,226.280055,4.8
,,340.1183618,226.5157818,4.81
,,340.8254685,226.7505285,4.82
,,341.5325753,226.9842953,4.83
,,342.2396821,227.2170821,4.84
,,342.9467889,227.4488889,4.85
,,343.6538957,227.6797157,4.86
,,344.3610024,227.9095624,4.87
,,345.0681092,228.1384292,4.88
,,345.775216,228.366316,4.89
,,346.4823228,228.5932228,4.9
,,347.1894296,228.8191496,4.91
,,347.8965363,229.0440963,4.92
,,348.6036431,229.2680631,4.93
,,349.3107499,229.4910499,4.94
,,350.0178567,229.7130567,4.95
,,350.7249635,229.9340835,4.96
,,351.4320702,230.1541302,4.97
,,352.139177,230.373197,4.98
,,352.8462838,230.5912838,4.99
,,353.5533906,230.8083906,5
,,354.2604974,231.0245174,5.01
,,354.9676042,231.2396642,5.02
,,355.6747109,231.4538309,5.03
,,356.3818177,231.6670177,5.04
,,357.0889245,231.8792245,5.05
,,357.7960313,232.0904513,5.06
,,358.5031381,232.3006981,5.07
,,359.2102448,232.5099648,5.08
,,359.9173516,232.7182516,5.09
,,360.6244584,232.9255584,5.1
,,361.3315652,233.1318852,5.11
,,362.038672,233.337232,5.12
,,362.7457787,233.5415987,5.13
,,363.4528855,233.7449855,5.14
,,364.1599923,233.9473923,5.15
,,364.8670991,234.1488191,5.16
,,365.5742059,234.3492659,5.17
,,366.2813127,234.5487327,5.18
,,366.9884194,234.7472194,5.19
,,367.6955262,234.9447262,5.2
,,368.402633,235.141253,5.21
,,369.1097398,235.3367998,5.22
,,369.8168466,235.5313666,5.23
,,370.5239533,235.7249533,5.24
,,371.2310601,235.9175601,5.25
,,371.9381669,236.1091869,5.26
,,372.6452737,236.2998337,5.27
,,373.3523805,236.4895005,5.28
,,374.0594872,236.6781872,5.29
,,374.766594,236.865894,5.3
,,375.4737008,237.0526208,5.31
,,376.1808076,237.2383676,5.32
,,376.8879144,237.4231344,5.33
,,377.5950212,237.6069212,5.34
